"","dyad.merge","conttype"
"1032","040051_1970",4
"1033","040051_1971",4
"1034","040051_1972",4
"1035","040051_1973",4
"1036","040051_1974",4
"1037","040051_1975",4
"1038","040051_1976",4
"1039","040051_1977",4
"1040","040051_1978",4
"1041","040051_1979",4
"1042","040051_1980",4
"1043","040051_1981",4
"1044","040051_1982",4
"1045","040051_1983",4
"1046","040051_1984",4
"1047","040051_1985",4
"1048","040051_1986",4
"1049","040051_1987",4
"1050","040051_1988",4
"1051","040051_1989",4
"1052","040051_1990",4
"1053","040051_1991",4
"1054","040051_1992",4
"1055","040051_1993",4
"1056","040051_1994",4
"1057","040051_1995",4
"1058","040051_1996",4
"1059","040051_1997",4
"1060","040051_1998",4
"1061","040051_1999",4
"1062","040051_2000",4
"1063","040051_2001",4
"1064","040051_2002",4
"1065","040051_2003",4
"1066","040051_2004",4
"1067","040051_2005",4
"1068","040051_2006",4
"1069","040070_1902",4
"1070","040070_1903",4
"1071","040070_1904",4
"1072","040070_1905",4
"1073","040070_1906",4
"1074","040070_1909",4
"1075","040070_1910",4
"1076","040070_1911",4
"1077","040070_1912",4
"1078","040070_1913",4
"1079","040070_1914",4
"1080","040070_1915",4
"1081","040070_1916",4
"1082","040070_1917",4
"1083","040070_1918",4
"1084","040070_1919",4
"1085","040070_1920",4
"1086","040070_1921",4
"1087","040070_1922",4
"1088","040070_1923",4
"1089","040070_1924",4
"1090","040070_1925",4
"1091","040070_1926",4
"1092","040070_1927",4
"1093","040070_1928",4
"1094","040070_1929",4
"1095","040070_1930",4
"1096","040070_1931",4
"1097","040070_1932",4
"1098","040070_1933",4
"1099","040070_1934",4
"1100","040070_1935",4
"1101","040070_1936",4
"1102","040070_1937",4
"1103","040070_1938",4
"1104","040070_1939",4
"1105","040070_1940",4
"1106","040070_1941",4
"1107","040070_1942",4
"1108","040070_1943",4
"1109","040070_1944",4
"1110","040070_1945",4
"1111","040070_1946",4
"1112","040070_1947",4
"1113","040070_1948",4
"1114","040070_1949",4
"1115","040070_1950",4
"1116","040070_1951",4
"1117","040070_1952",4
"1118","040070_1953",4
"1119","040070_1954",4
"1120","040070_1955",4
"1121","040070_1956",4
"1122","040070_1957",4
"1123","040070_1958",4
"1124","040070_1959",4
"1125","040070_1960",4
"1126","040070_1961",4
"1127","040070_1962",4
"1128","040070_1963",4
"1129","040070_1964",4
"1130","040070_1965",4
"1131","040070_1966",4
"1132","040070_1967",4
"1133","040070_1968",4
"1134","040070_1969",4
"1135","040070_1970",4
"1136","040070_1971",4
"1137","040070_1972",4
"1138","040070_1973",4
"1139","040070_1974",4
"1140","040070_1975",4
"1141","040070_1976",4
"1142","040070_1977",4
"1143","040070_1978",4
"1144","040070_1979",4
"1145","040070_1980",4
"1146","040070_1981",4
"1147","040070_1982",4
"1148","040070_1983",4
"1149","040070_1984",4
"1150","040070_1985",4
"1151","040070_1986",4
"1152","040070_1987",4
"1153","040070_1988",4
"1154","040070_1989",4
"1155","040070_1990",4
"1156","040070_1991",4
"1157","040070_1992",4
"1158","040070_1993",4
"1159","040070_1994",4
"1160","040070_1995",4
"1161","040070_1996",4
"1162","040070_1997",4
