dispnum3,dispnum4,stday,stmon,styear,endday,endmon,endyear,outcome,settle,fatality,fatalpre,maxdur,mindur,hiact,hostlev,recip,numa,numb,link1,link2,link3,ongo2010,version
4451,30209,10,12,2002,11,12,2002,7,3,0,0,1,1,15,4,0,2,1,0,0,0,0,gml-2.0
4452,30301,2,1,2003,2,1,2003,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4453,30302,27,1,2003,27,1,2003,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4454,30303,13,2,2003,13,2,2003,5,3,0,0,0,0,7,3,0,1,1,0,0,0,0,gml-2.0
4455,30304,21,2,2003,23,9,2003,5,3,0,0,214,214,7,3,1,1,1,30201,30209,30210,0,gml-2.0
4456,30305,7,3,2003,11,6,2003,5,3,0,0,96,96,15,4,0,1,1,0,0,0,0,gml-2.0
4457,30306,23,6,2003,27,3,2004,5,3,0,0,278,278,15,4,0,1,1,0,0,0,0,gml-2.0
4458,30307,26,6,2003,26,6,2003,5,3,0,0,0,0,12,3,0,1,1,0,0,0,0,gml-2.0
4459,30308,1,7,2003,4,7,2003,-9,-9,0,0,3,3,15,4,0,1,1,0,0,0,0,gml-2.0
4460,30309,3,7,2003,3,7,2003,5,3,0,0,0,0,7,3,0,1,1,0,0,0,0,gml-2.0
4461,30310,30,7,2003,30,7,2003,5,3,0,0,0,0,7,3,0,1,1,0,0,0,0,gml-2.0
4462,30311,6,8,2003,4,5,2004,5,3,0,0,272,272,7,3,1,1,1,0,0,0,0,gml-2.0
4463,30312,15,9,2003,15,9,2003,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4464,30313,23,9,2003,23,9,2003,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4465,30401,30,4,2004,30,11,2004,5,3,0,0,214,214,7,3,0,1,1,30209,30301,0,0,gml-2.0
4466,30402,30,9,2004,30,9,2004,5,3,0,0,0,0,11,3,0,1,1,30312,0,0,0,gml-2.0
4467,30403,10,11,2004,10,11,2004,3,3,0,0,0,0,8,3,1,1,1,0,0,0,0,gml-2.0
4468,30501,8,3,2005,7,7,2005,5,3,0,0,121,121,7,3,1,1,1,0,0,0,0,gml-2.0
4469,30502,24,5,2005,24,5,2005,-9,-9,0,0,0,0,1,2,0,1,1,0,0,0,0,gml-2.0
4470,30503,15,6,2005,10,7,2005,5,3,0,0,25,25,7,3,0,1,1,30303,0,0,0,gml-2.0
4471,30504,23,8,2005,26,8,2005,-9,-9,0,0,3,3,15,4,0,1,1,0,0,0,0,gml-2.0
